created,tweet_text
Tue Nov 08 09:44:29 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 09:44:27 +0000 2022,RT @zldwjdhoo51: 키움은 임지열(지명타자)-전병우(1루수)-이정후(중견수)-야시엘 푸이그(우익수)-김태진(좌익수)-이지영(포수)-송성문(3루수)-김휘집(유격수)-김혜성(2루수) 순으로 짰다. 선발 투수는 타일러 애플러다.
Tue Nov 08 09:42:15 +0000 2022,RT @zldwjdhoo51: 키움은 임지열(지명타자)-전병우(1루수)-이정후(중견수)-야시엘 푸이그(우익수)-김태진(좌익수)-이지영(포수)-송성문(3루수)-김휘집(유격수)-김혜성(2루수) 순으로 짰다. 선발 투수는 타일러 애플러다.
Tue Nov 08 09:40:38 +0000 2022,다른 말이지만 이지영 선수님 새삼 대단하시네 매 경기
Tue Nov 08 09:39:54 +0000 2022,RT @olymfuck: 키움은 임지열(지명타자)-전병우(1루수)-이정후(중견수)-야시엘 푸이그(우익수)-김태진(좌익수)-이지영(포수)-송성문(3루수)-김휘집(유격수)-김혜성(2루수) 순으로 짰다. 선발 투수는 타일러 애플러다.
Tue Nov 08 09:39:52 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 09:39:25 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 09:39:21 +0000 2022,"RT @mond_held: 태진이가 달려 내려와 뜬공 처리하고 지영이가 기뻐하며 서로 바라보고 웃던 때도 좋았다. 경기 외적인 것들로 너무나 황망하게 됐지만 히어로즈 친구들의 노력이 결코 물거품이 됐다고 생각하지 않는다.
김태진 이지영
KS 5차전…"
Tue Nov 08 09:38:39 +0000 2022,"RT @wave3x21: 오늘 라인업으로 할 수 있는 거

타격감 올라온 9번 김혜성 출루
-&gt; 임지열 투런 -&gt; 전뱅 뜬금 3루타 
-&gt; 정후 투런 -&gt; 주자 없어서 푸이그 솔리런 
-&gt; 김태진 &amp; 이지영 연속 안타
-&gt; 송성문 쓰리런 -&gt; 휘집이…"
Tue Nov 08 09:38:11 +0000 2022,RT @zldwjdhoo51: 키움은 8일 18시30분부터 SSG와 2022 신한은행 SOL KBO리그 한국시리즈 6차전을 치른다. 임지열(지명타자)-전병우(1루수)-이정후(중견수)-야시엘 푸이그(우익수)-김태진(1루수)-이지영(포수)-송성문(3루수…
